m=339, n=12, q=23, M0=9984, M1=9988 
m=201, n=12, q=23, M0=9981, M1=9986 
m=271, n=12, q=23, M0=9982, M1=9984 
m=128, n=12, q=23, M0=9970, M1=9990 
m=472, n=12, q=23, M0=9975, M1=9990 
m=406, n=12, q=23, M0=9987, M1=9983 
m=200, n=12, q=23, M0=9978, M1=9986 
m=127, n=12, q=23, M0=9981, M1=9994 
m=270, n=12, q=23, M0=9975, M1=9987 
m=338, n=12, q=23, M0=9979, M1=9990 
m=199, n=12, q=23, M0=9981, M1=9987 
m=471, n=12, q=23, M0=9985, M1=9988 
m=269, n=12, q=23, M0=9982, M1=9989 
m=405, n=12, q=23, M0=9981, M1=9988 
m=1092, n=12, q=23, M0=9983, M1=9993 
m=337, n=12, q=23, M0=9985, M1=9989 
m=198, n=12, q=23, M0=9979, M1=9987 
m=268, n=12, q=23, M0=9984, M1=9988 
m=1690, n=12, q=23, M0=9987, M1=9988 
m=470, n=12, q=23, M0=9975, M1=9989 
m=404, n=12, q=23, M0=9982, M1=9994 
m=197, n=12, q=23, M0=9981, M1=9988 
m=336, n=12, q=23, M0=9985, M1=9988 
m=267, n=12, q=23, M0=9983, M1=9986 
m=196, n=12, q=23, M0=9977, M1=9991 
m=335, n=12, q=23, M0=9979, M1=9988 
m=403, n=12, q=23, M0=9987, M1=9993 
m=469, n=12, q=23, M0=9979, M1=9987 
m=1091, n=12, q=23, M0=9981, M1=9990 
m=266, n=12, q=23, M0=9985, M1=9990 
m=195, n=12, q=23, M0=9985, M1=9984 
m=334, n=12, q=23, M0=9982, M1=9987 
m=402, n=12, q=23, M0=9985, M1=9988 
m=265, n=12, q=23, M0=9981, M1=9989 
m=194, n=12, q=23, M0=9973, M1=9988 
m=468, n=12, q=23, M0=9980, M1=9992 
m=2286, n=12, q=23, M0=9972, M1=9990 
m=193, n=12, q=23, M0=9983, M1=9989 
m=333, n=12, q=23, M0=9979, M1=9981 
m=264, n=12, q=23, M0=9982, M1=9986 
m=1689, n=12, q=23, M0=9976, M1=9993 
m=401, n=12, q=23, M0=9988, M1=9986 
m=467, n=12, q=23, M0=9977, M1=9981 
m=192, n=12, q=23, M0=9981, M1=9988 
m=1090, n=12, q=23, M0=9979, M1=9988 
m=263, n=12, q=23, M0=9985, M1=9988 
m=332, n=12, q=23, M0=9979, M1=9990 
m=191, n=12, q=23, M0=9979, M1=9990 
m=400, n=12, q=23, M0=9987, M1=9990 
m=262, n=12, q=23, M0=9984, M1=9990 
m=466, n=12, q=23, M0=9978, M1=9992 
m=331, n=12, q=23, M0=9981, M1=9988 
m=190, n=12, q=23, M0=9984, M1=9993 
m=261, n=12, q=23, M0=9977, M1=9984 
m=399, n=12, q=23, M0=9981, M1=9988 
m=330, n=12, q=23, M0=9980, M1=9985 
m=465, n=12, q=23, M0=9980, M1=9986 
m=1089, n=12, q=23, M0=9981, M1=9990 
m=260, n=12, q=23, M0=9975, M1=9988 
m=1688, n=12, q=23, M0=9981, M1=9987 
m=398, n=12, q=23, M0=9980, M1=9990 
m=329, n=12, q=23, M0=9983, M1=9988 
m=2285, n=12, q=23, M0=9977, M1=9988 
m=464, n=12, q=23, M0=9981, M1=9993 
m=259, n=12, q=23, M0=9978, M1=9992 
m=328, n=12, q=23, M0=9980, M1=9993 
m=397, n=12, q=23, M0=9983, M1=9991 
m=258, n=12, q=23, M0=9979, M1=9990 
m=1088, n=12, q=23, M0=9980, M1=9987 
